start,end,duration_hr,P_in,peak_intensity_in_hr,Q_in,runoff_ratio
1999-12-14,1999-12-15 23:00:00,48.0,1.35,0.03291666666666667,0.42538424387328155,0.3150994399061345
2000-02-18,2000-02-19 23:00:00,48.0,1.26,0.043333333333333335,0.42402824267782424,0.3365303513316065
2000-03-21,2000-03-22 23:00:00,48.0,1.8000000000000003,0.05708333333333334,0.6436359707112971,0.3575755392840539
2000-04-15,2000-04-19 23:00:00,120.0,2.8800000000000003,0.05583333333333334,1.761156569037657,0.6115126975825197
2000-05-20,2000-05-25 23:00:00,144.0,1.4300000000000002,0.01916666666666667,0.18381040794979078,0.1285387468180355
2000-06-13,2000-06-19 23:00:00,168.0,1.5099999999999998,0.03333333333333333,1.026692970711297,0.6799291196763557
2000-06-22,2000-06-22 23:00:00,24.0,1.1,0.04583333333333334,0.6842026359832637,0.6220023963484215
2000-07-31,2000-08-08 23:00:00,216.0,2.5599999999999996,0.037083333333333336,0.5617623968918112,0.21943843628586376
2000-08-28,2000-09-01 23:00:00,120.0,1.5699999999999998,0.028749999999999998,0.20725614740907627,0.13201028497393394
2000-09-19,2000-09-20 23:00:00,48.0,1.0499999999999998,0.03916666666666666,0.3050335803945009,0.2905081718042866
2000-09-25,2000-09-27 23:00:00,72.0,2.539999999999999,0.09041666666666666,0.7430219665271967,0.292528333278424
2000-12-16,2000-12-18 23:00:00,72.0,1.4199999999999997,0.049166666666666664,0.4231464714086473,0.2979904728229911
2001-01-19,2001-01-21 23:00:00,72.0,1.7800000000000002,0.045000000000000005,0.48046679079497917,0.2699251633679658
2001-02-13,2001-02-17 23:00:00,120.0,1.17,0.03333333333333333,0.2175381589958159,0.1859300504237743
2001-03-21,2001-03-22 23:00:00,48.0,1.58,0.035416666666666666,0.6831133891213389,0.4323502462793284
2001-03-30,2001-03-31 23:00:00,48.0,1.8500000000000005,0.07416666666666667,0.74146589958159,0.4007923781522107
2001-04-09,2001-04-13 23:00:00,120.0,1.2000000000000004,0.022500000000000003,0.33072646861924687,0.275605390516039
2001-05-19,2001-05-23 23:00:00,120.0,3.07,0.049999999999999996,1.3325712731619848,0.4340623039615586
2001-05-26,2001-05-28 23:00:00,72.0,2.28,0.05541666666666667,0.4608181111775254,0.2021132066568094
2001-06-05,2001-06-08 23:00:00,96.0,1.5200000000000002,0.051666666666666666,0.3041332845188285,0.20008768718343975
2001-06-16,2001-06-17 23:00:00,48.0,1.36,0.028749999999999998,0.16171425732217573,0.11890754214865862
2001-06-22,2001-06-23 23:00:00,48.0,2.04,0.075,0.9546470711297073,0.46796425055377805
2001-07-05,2001-07-06 23:00:00,48.0,1.28,0.04708333333333333,0.49464033771667665,0.38643776384115364
2001-07-08,2001-07-09 23:00:00,48.0,1.39,0.03625,0.3652533711894801,0.2627722094888346
2001-07-29,2001-07-30 23:00:00,48.0,1.12,0.024583333333333332,0.24500274058577412,0.21875244695158402
2001-08-11,2001-08-14 23:00:00,96.0,4.0200000000000005,0.10333333333333333,1.7041656171548123,0.4239217953121423
2001-08-23,2001-08-24 23:00:00,48.0,1.32,0.043333333333333335,0.4584951255230125,0.34734479206288826
2001-09-20,2001-09-21 23:00:00,48.0,1.1300000000000001,0.025416666666666667,0.24620998919107395,0.21788494618679108
2001-09-25,2001-09-25 23:00:00,24.0,1.32,0.055,0.15679189888423992,0.11878174157896963
2002-03-03,2002-03-04 23:00:00,48.0,1.0399999999999998,0.0425,0.2073926025104602,0.19941596395236563
2002-04-19,2002-04-22 23:00:00,96.0,1.03,0.029583333333333333,0.15613316387726642,0.15158559599734603
2002-04-28,2002-04-29 23:00:00,48.0,2.32,0.055,0.7410490959354454,0.3194177137652782
2002-06-19,2002-06-20 23:00:00,48.0,1.92,0.07291666666666667,0.5732343152022316,0.29855953916782896
2002-07-14,2002-07-15 23:00:00,48.0,1.39,0.034166666666666665,0.2007034597280335,0.14439097822160685
2002-08-28,2002-08-29 23:00:00,48.0,2.19,0.06916666666666667,0.48592302839211,0.22188266136626028
2002-09-27,2002-09-30 23:00:00,96.0,1.4500000000000002,0.042083333333333334,0.1392991129707113,0.09606835377290433
2002-10-10,2002-10-12 23:00:00,72.0,1.2899999999999998,0.0275,0.2045138786610879,0.15853789043495187
2002-10-15,2002-10-18 23:00:00,96.0,1.7700000000000002,0.046250000000000006,0.43032512691771263,0.24312154063147604
2002-10-24,2002-10-26 23:00:00,72.0,1.0199999999999998,0.04041666666666666,0.3566749964136282,0.3496813690329689
2002-10-29,2002-11-01 23:00:00,96.0,1.5999999999999999,0.03916666666666666,0.32864133891213393,0.20540083682008373
2002-11-11,2002-11-13 23:00:00,72.0,1.48,0.02291666666666667,0.6754357548117157,0.45637551000791604
2002-11-16,2002-11-18 23:00:00,72.0,2.1,0.04708333333333333,0.7577205748953976,0.3608193213787607
2002-12-11,2002-12-12 23:00:00,48.0,1.2500000000000002,0.0425,0.917425949790795,0.7339407598326358
2002-12-25,2002-12-26 23:00:00,48.0,1.07,0.02625,0.3281367286312015,0.3066698398422444
2003-01-01,2003-01-04 23:00:00,96.0,2.12,0.043750000000000004,0.8200472803347281,0.3868147548748717
2003-02-15,2003-02-18 23:00:00,96.0,2.1700000000000004,0.05416666666666667,0.1876616736401674,0.086480033935561
2003-02-22,2003-02-24 23:00:00,72.0,3.000000000000001,0.085,2.6302977615062764,0.8767659205020919
2003-03-20,2003-03-22 23:00:00,72.0,2.2,0.08291666666666667,1.0855123012552301,0.4934146823887409
2003-04-07,2003-04-11 23:00:00,120.0,1.7599999999999998,0.020833333333333332,0.5356972651198174,0.3043734460908054
2003-05-08,2003-05-11 23:00:00,96.0,1.44,0.020833333333333332,0.3930158284518828,0.27292765864714086
2003-05-15,2003-05-19 23:00:00,120.0,2.04,0.05416666666666667,0.80840789958159,0.3962783821478382
2003-05-21,2003-05-30 23:00:00,240.0,2.8999999999999995,0.05625,1.0262261506276151,0.3538710864233156
2003-06-07,2003-06-09 23:00:00,72.0,1.9,0.03875,0.908587489539749,0.4782039418630258
2003-06-12,2003-06-15 23:00:00,96.0,1.5899999999999999,0.0275,0.5332382078103208,0.3353699420190697
2003-06-18,2003-06-22 23:00:00,120.0,2.48,0.029166666666666664,1.1598923012552302,0.46769850857065737
2003-07-03,2003-07-04 23:00:00,48.0,1.05,0.04125,0.18856834198047423,0.17958889712426115
2003-07-10,2003-07-11 23:00:00,48.0,1.87,0.057916666666666665,1.3733535648535566,0.7344136710446827
2003-07-23,2003-07-23 23:00:00,24.0,1.46,0.06083333333333333,0.796550669456067,0.5455826503123746
2003-08-27,2003-09-05 23:00:00,240.0,3.12,0.024999999999999998,0.42434982984658304,0.1360095608482638
2003-09-13,2003-09-14 23:00:00,48.0,1.3,0.050416666666666665,0.1759341157601116,0.13533393520008583
2003-09-19,2003-09-20 23:00:00,48.0,2.38,0.09666666666666666,2.236962939330544,0.9399003946766993
2003-09-23,2003-09-23 23:00:00,24.0,2.69,0.11208333333333333,1.590767238493724,0.5913632856853992
2003-10-14,2003-10-15 23:00:00,48.0,1.6800000000000002,0.06166666666666667,0.3727699828832256,0.22188689457334856
2003-10-27,2003-10-30 23:00:00,96.0,2.7199999999999998,0.05708333333333334,1.081586768733359,0.39764219438726434
2003-11-06,2003-11-07 23:00:00,48.0,1.46,0.04416666666666667,0.42305014345487163,0.2897603722293641
2003-11-20,2003-11-20 23:00:00,24.0,1.79,0.07458333333333333,0.21221641004184102,0.11855665365465978
2003-12-05,2003-12-06 23:00:00,48.0,1.32,0.037083333333333336,0.3939961506276151,0.2984819322936478
2003-12-14,2003-12-15 23:00:00,48.0,1.01,0.025416666666666667,0.7610723430962344,0.7535369733626083
2004-02-06,2004-02-07 23:00:00,48.0,1.5999999999999999,0.04791666666666666,0.9025382792887031,0.5640864245554394
2004-03-06,2004-03-08 23:00:00,72.0,1.0900000000000003,0.03375,0.32054979079497914,0.2940823768761276
2004-03-31,2004-04-04 23:00:00,120.0,1.94,0.03,0.5246491898060099,0.27043772670412886
2004-04-11,2004-04-15 23:00:00,120.0,2.0999999999999996,0.055,0.7915005249144161,0.37690501186400777
2004-06-05,2004-06-06 23:00:00,48.0,1.76,0.044583333333333336,1.0447322325164377,0.5935978593843396
2004-06-11,2004-06-12 23:00:00,48.0,1.13,0.04541666666666667,0.2948702402869097,0.26094711529815023
2004-07-23,2004-07-28 23:00:00,144.0,3.03,0.057499999999999996,0.8188218776150628,0.27023824343731445
2004-08-02,2004-08-03 23:00:00,48.0,1.24,0.03166666666666667,0.23878538865643895,0.19256886181970884
2004-08-12,2004-08-16 23:00:00,120.0,1.9599999999999997,0.03916666666666666,0.29976073640167367,0.15293915122534374
2004-09-07,2004-09-09 23:00:00,72.0,1.1099999999999999,0.04041666666666666,0.21427041841004182,0.19303641298201968
2004-09-18,2004-09-19 23:00:00,48.0,1.33,0.05291666666666667,0.4939171940778887,0.3713663113367584
2004-09-28,2004-09-29 23:00:00,48.0,1.8599999999999999,0.06083333333333333,1.1296019020920505,0.6073128505871239
2004-11-05,2004-11-05 23:00:00,24.0,1.54,0.06416666666666666,0.0627575945226322,0.040751684754955976
2004-11-12,2004-11-13 23:00:00,48.0,2.1900000000000004,0.06333333333333334,0.8140369717573224,0.37170637979786403
2004-12-23,2004-12-24 23:00:00,48.0,1.01,0.03958333333333333,0.40173758368200846,0.39775998384357275
2005-01-14,2005-01-15 23:00:00,48.0,1.9900000000000002,0.07291666666666667,1.5531822368844546,0.7804935863740977
2005-03-23,2005-03-24 23:00:00,48.0,1.7799999999999998,0.03791666666666667,0.6255389121338912,0.3514263551313996
2005-03-28,2005-03-29 23:00:00,48.0,1.8900000000000001,0.06583333333333334,1.2203788463837417,0.6457030933247311
2005-04-02,2005-04-03 23:00:00,48.0,2.19,0.0625,1.4587016138673043,0.6660737962864404
2005-04-20,2005-04-24 23:00:00,120.0,1.28,0.034999999999999996,0.3228838912133891,0.2522530400104602
2005-04-30,2005-05-02 23:00:00,72.0,1.3899999999999997,0.03208333333333333,0.53692089958159,0.3862740284759641
2005-05-19,2005-05-21 23:00:00,72.0,3.4200000000000004,0.07041666666666667,1.4766891414986685,0.4317804507306048
2005-05-23,2005-05-28 23:00:00,144.0,1.3299999999999998,0.01958333333333333,0.24916875618105747,0.18734492945944173
2005-07-08,2005-07-09 23:00:00,48.0,2.8399999999999994,0.11708333333333333,1.327053904363419,0.46727250153641525
2005-07-13,2005-07-17 23:00:00,120.0,1.55,0.020833333333333332,0.5892047489539749,0.3801320960993386
2005-08-09,2005-08-10 23:00:00,48.0,1.2900000000000003,0.04,0.2119518786610879,0.16430378190782002
2005-10-07,2005-10-15 23:00:00,216.0,8.030000000000001,0.21,3.2068828075313807,0.3993627406639328
2005-10-25,2005-10-26 23:00:00,48.0,1.26,0.035416666666666666,0.43305343096234317,0.34369319917646285
2005-11-22,2005-11-24 23:00:00,72.0,1.1900000000000004,0.04416666666666667,0.23412360968320386,0.1967425291455494
2005-12-16,2005-12-16 23:00:00,24.0,1.21,0.050416666666666665,0.42976079330543937,0.3551742093433383
2006-04-22,2006-04-24 23:00:00,72.0,2.0999999999999996,0.075,0.7617689118877676,0.362747100898937
2006-05-08,2006-05-15 23:00:00,192.0,2.38,0.03166666666666667,0.22379354811715485,0.09403090257023314
2006-06-20,2006-06-20 23:00:00,24.0,1.47,0.06125,0.36594847617387266,0.24894454161487936
2006-06-23,2006-06-28 23:00:00,144.0,11.980000000000002,0.21708333333333332,5.231372585774059,0.43667550799449567
2006-07-05,2006-07-06 23:00:00,48.0,2.0399999999999996,0.07125,0.6700424267782427,0.3284521699893347
2006-07-15,2006-07-16 23:00:00,48.0,1.13,0.0425,0.024331700139470017,0.02153247799953099
2006-08-29,2006-09-03 23:00:00,144.0,3.22,0.11541666666666667,1.093868380753138,0.3397106772525273
